food items,Calories,Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (mcg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B6 (mg),Vitamin B9 (mcg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Omega-3 (mg),Omega-6 (mg),Sugar (g),Veg/Non-Veg,Category,Male/Female
"Grilled chicken with roasted vegetables (carrot, zucchini)",400,45,30,15,8,1000,40,0,2.5,250,0.3,0.5,3.5,0.6,80,300,3.5,65,150,450,40,1.2,180,120,1,Non-Veg,Lunch,Male
Grilled tuna salad with mixed greens and olive oil,350,25,35,16,7,900,45,0,2,230,0.2,0.3,4,0.7,70,250,3.8,50,130,380,60,1.5,250,130,1.2,Non-Veg,Lunch,Male
Grilled salmon with sautéed spinach and quinoa,450,38,35,18,8,1200,50,0,2.4,300,0.4,0.6,5,0.7,100,350,3,70,170,520,40,1.5,280,150,1.5,Non-Veg,Dinner,Male
Grilled chicken with roasted sweet potatoes,400,50,35,12,8,900,40,0,2.5,250,0.4,0.5,4.5,0.6,90,320,4,70,160,470,40,1.4,200,140,1,Non-Veg,Dinner,Male
Methi (fenugreek) leaves curry with brown rice,350,55,15,9,12,1100,45,0,2.2,280,0.2,0.4,3,0.5,50,200,5,65,130,420,30,0.7,100,110,1.8,Veg,Dinner,Male
"Tofu stir-fry with broccoli, bell peppers, and sesame seeds",320,30,18,15,8,500,40,0,2,200,0.4,0.5,2,0.5,60,220,3.5,50,140,350,30,1.2,120,100,3.5,Veg,Dinner,Male
Grilled chicken with roasted vegetables,400,45,30,15,8,1000,40,0,2.5,250,0.3,0.5,3.5,0.6,80,300,3.5,65,150,450,40,1.2,180,120,1,Non-Veg,Dinner,Male
Chickpea and spinach curry with basmati rice,380,60,16,8,10,850,45,0,1.8,150,0.3,0.3,2.5,0.4,70,180,4,60,130,380,50,0.8,140,100,3,Veg,Dinner,Male
Grilled tuna salad with mixed greens,350,25,35,16,7,900,45,0,2,230,0.2,0.3,4,0.7,70,250,3.8,50,130,380,60,1.5,250,130,1.2,Non-Veg,Dinner,Male
Spicy grilled shrimp with steamed broccoli,350,35,30,12,7,700,60,0,2.3,200,0.3,0.4,3.6,0.5,80,300,4,50,150,400,60,1.4,220,130,1,Non-Veg,Dinner,Male
Baked salmon with sautéed spinach and garlic,400,35,30,18,8,1000,50,0,3,300,0.5,0.7,4.8,0.6,90,350,3.8,70,160,470,50,1.5,280,150,1,Non-Veg,Dinner,Male
Grilled tofu with roasted vegetables and quinoa,350,45,20,12,8,800,50,0,2,200,0.4,0.5,3,0.5,60,220,3.5,50,140,350,30,1.2,120,100,3,Veg,Dinner,Male
Spicy chickpea stew with turmeric and coriander,380,60,15,8,10,850,45,0,1.5,150,0.3,0.3,2,0.4,70,200,4.2,65,130,400,50,1,160,110,3,Veg,Dinner,Male
Amla smoothie with honey and chia seeds,220,28,4,9,6,5000,40,0,3,15,0.2,0.1,1.5,0.3,60,100,2,50,110,300,5,0.9,140,60,10,Veg,Breakfast,Female
"Ragi porridge with almond milk, walnuts, and flaxseeds",320,38,8,15,6,120,8,0,4,90,0.3,0.4,2.3,0.6,80,150,2.5,80,170,350,50,1.5,180,100,2.5,Veg,Breakfast,Female
"Greek yogurt with chia seeds, pomegranate, and honey",250,35,10,6,4,200,12,0,2,15,0.4,0.3,1.2,0.5,45,250,2.5,60,130,300,45,0.8,200,100,5,Veg,Breakfast,Female
"Oats with berries, almond butter, and flaxseeds",350,45,10,14,7,120,30,0,3,20,0.5,0.6,2.5,0.6,90,180,3,70,150,400,40,1,200,120,4.5,Veg,Breakfast,Female
"Vegetarian poha with curry leaves, peas, and turmeric",280,45,7,8,5,150,20,0,1.5,120,0.2,0.3,2,0.5,50,150,2.5,60,130,300,40,0.9,70,90,2.5,Veg,Breakfast,Female
Avocado toast with a sprinkle of sesame seeds,350,28,8,18,10,400,10,0,3,30,0.3,0.4,2.1,0.6,70,220,3.5,70,160,500,35,1.2,180,150,1,Veg,Breakfast,Female
Idli with coconut chutney,210,40,5,6,4,100,8,0,2,5,0.2,0.3,2,0.3,45,120,2,40,100,200,50,0.8,60,70,3,Veg,Breakfast,Female
"Vegetarian upma with carrots, beans, and cashews",300,50,8,10,6,500,25,0,1.8,100,0.3,0.5,2.3,0.4,80,140,3.5,50,130,350,40,1.2,100,90,3,Veg,Breakfast,Female
"Smoothie with papaya, pineapple, and spinach",230,35,4,8,6,1500,40,0,3,40,0.2,0.3,2,0.5,80,100,2.5,30,120,350,30,1,140,80,12,Veg,Breakfast,Female
"Chia pudding made with almond milk, topped with fresh fruit",270,35,6,12,8,100,20,0,2.5,50,0.3,0.4,1.8,0.4,70,150,3,40,120,350,30,0.7,200,110,5,Veg,Breakfast,Female
Lentil soup with spinach and quinoa,300,45,15,7,10,850,35,0,2,220,0.3,0.4,2.5,0.5,60,180,4,60,140,400,50,0.9,150,120,3.5,Veg,Breakfast,Female
"Chickpea salad with olive oil, cucumber, tomatoes, and flaxseeds",330,45,15,12,8,850,35,0,3,180,0.2,0.3,2.5,0.4,70,250,3.5,60,150,400,50,1.2,160,100,4,Veg,Lunch,Female
Lentil and spinach soup with a side of quinoa,350,50,20,8,10,800,40,0,2.5,250,0.3,0.4,2.8,0.5,60,300,4,60,140,400,50,0.8,170,120,3.5,Veg,Lunch,Female
Grilled chicken salad with avocado and olive oil,400,30,30,20,7,1000,30,0,3.5,200,0.5,0.6,3.2,0.6,85,350,4,80,180,460,60,1.5,280,150,2,Non-Veg,Lunch,Female
Tofu and vegetable stir-fry with brown rice,380,45,20,14,8,500,40,0,2,250,0.4,0.5,3.1,0.6,70,250,4.2,60,130,380,40,1.2,200,100,3,Veg,Lunch,Female
Salmon salad with mixed greens and lemon vinaigrette,430,30,35,20,6,1200,45,0,2.5,220,0.5,0.7,3.8,0.7,95,350,3.8,70,160,490,60,1.6,280,150,1,Non-Veg,Lunch,Female
Vegetable and quinoa stuffed bell peppers,350,50,15,10,7,800,50,0,3,180,0.3,0.4,2.5,0.5,60,200,3.5,60,120,350,50,0.8,150,100,2.5,Veg,Lunch,Female
Grilled shrimp with mixed veggies and a side of couscous,380,40,25,18,6,900,40,0,2.5,230,0.5,0.6,3.6,0.6,80,300,3.8,70,160,460,60,1.4,250,150,1.5,Non-Veg,Lunch,Female
Vegetable curry with basmati rice,350,50,12,8,10,700,40,0,2,200,0.3,0.4,2.5,0.5,70,250,3.5,60,130,400,40,1,160,120,3,Veg,Lunch,Female
Chicken and vegetable stew,400,30,30,20,6,1000,35,0,3,220,0.5,0.7,3.5,0.7,95,350,3.8,70,160,460,60,1.4,250,150,1,Non-Veg,Lunch,Female
Grilled tofu with quinoa and sautéed spinach,380,45,20,14,7,800,35,0,2,250,0.4,0.5,3,0.5,70,250,3.5,60,130,400,50,1.2,180,120,3,Veg,Lunch,Female
Grilled chicken with sautéed kale and quinoa,380,40,30,15,8,1000,60,0,2.5,250,0.4,0.5,3.8,0.6,85,350,3,70,150,460,50,1.3,200,120,1.5,Non-Veg,Dinner,Female
Chickpea and spinach curry with brown rice,350,50,15,8,10,850,45,0,2,200,0.3,0.4,2.5,0.5,70,200,4,60,130,380,50,1,140,100,3,Veg,Dinner,Female
Grilled salmon with roasted sweet potatoes,430,50,30,20,8,1200,50,0,2.5,280,0.5,0.7,4.8,0.7,95,350,3.5,70,170,490,60,1.6,280,150,1,Non-Veg,Dinner,Female
Spicy tofu stir-fry with mixed vegetables,330,35,18,15,7,700,45,0,2,250,0.3,0.4,3.6,0.5,70,250,3.8,50,140,380,40,1,220,130,2,Veg,Dinner,Female
Baked salmon with sautéed spinach and garlic,420,40,30,18,8,1000,55,0,3,280,0.5,0.7,4.5,0.6,90,330,3.8,70,160,480,50,1.5,300,150,1.2,Non-Veg,Dinner,Female
Vegetable khichdi with raita,350,55,12,9,10,850,40,0,1.8,230,0.2,0.3,2.8,0.5,60,180,4.5,65,130,380,40,0.8,150,110,2.5,Veg,Dinner,Female
Spicy grilled shrimp with quinoa and steamed veggies,380,45,30,14,7,700,50,0,2.3,220,0.3,0.4,3.5,0.6,80,300,4,60,140,450,60,1.4,250,140,1.5,Non-Veg,Dinner,Female
Grilled chicken with sautéed zucchini and bell peppers,380,40,30,15,8,1000,45,0,2.5,250,0.3,0.5,3.6,0.6,90,340,3.5,70,150,460,50,1.4,200,120,1.2,Non-Veg,Dinner,Female
Chickpea stew with tomatoes and spinach,330,45,16,8,9,850,50,0,2,180,0.3,0.4,2.5,0.6,70,220,4,60,130,400,40,1,160,120,3,Veg,Dinner,Female
Grilled fish with sautéed greens and garlic,400,40,30,18,8,1200,50,0,2.5,270,0.4,0.6,4.8,0.7,85,350,3.5,70,150,460,50,1.5,300,140,1.2,Non-Veg,Dinner,Female
Vegetable stew with brown rice and coconut milk,370,50,12,10,12,900,40,0,2,250,0.3,0.4,2.8,0.6,70,210,4.2,65,140,400,50,0.8,180,120,3,Veg,Dinner,Female
Greek Yogurt with Berries,50,18,10,3,2,0,8,0,0.2,0,0.05,0.3,0.3,0.1,12,150,0.2,11,90,180,65,0.7,50,200,8,Vegetarian,Breakfast,Female
Oatmeal with Chia Seeds,60,30,5,6,8,150,0,0,0.6,0.2,0.2,0.1,0.5,0.1,25,60,1.5,60,180,120,1,0.7,1300,1800,1,Vegetarian,Breakfast,Male
Veggie Omelet,180,5,10,12,2,500,10,40,1,12,0.1,0.4,0.1,0.3,25,45,1.5,20,110,240,160,0.8,50,100,3,Vegetarian,Breakfast,Male
Avocado Toast (Whole Grain),280,20,6,15,7,150,4,0,2,21,0.07,0.3,1.1,0.1,40,25,0.6,40,110,320,210,0.4,180,1100,2,Vegetarian,Breakfast,Female
Chia Pudding with Almond Milk,240,12,4,10,7,300,0,0,1.2,1,0.1,0.1,0.4,0.05,8,100,0.7,60,70,120,150,1.1,1700,2200,1,Vegetarian,Breakfast,Female
Smoothie with Spinach and Banana,200,27,3,3,4,2300,15,0,0.4,70,0.1,0.4,0.6,0.2,30,60,0.8,40,90,400,10,0.2,40,150,11,Vegetarian,Breakfast,Female
Cottage Cheese with Berries,150,10,12,5,2,200,6,0,0.1,0.5,0.03,0.2,0.2,0.1,5,90,0.2,8,20,180,300,0.4,60,40,5,Vegetarian,Breakfast,Female
Hard-Boiled Eggs and Veggies,140,2,12,10,1,300,2,44,1,0.1,0.03,0.5,0.1,0.1,5,50,1.2,10,90,170,125,0.6,10,70,0,Vegetarian,Breakfast,Male
Almond Butter on Whole Grain Toast,210,23,6,11,5,6,0,0,6.5,8,0.02,0.3,0.6,0.07,16,80,1,65,120,150,110,0.6,320,2700,3,Vegetarian,Breakfast,Female
Green Tea with Apple Slices and Almonds,50,20,2,5,4,10,8,0,1.5,1.8,0.01,0.03,0.1,0.02,3,6,0.2,30,10,140,5,0.2,20,500,15,Vegetarian,Breakfast,Female
Chia and Flax Seed Pudding,220,15,5,10,10,100,0,0,1.2,2,0.1,0.1,0.4,0.05,25,70,0.7,80,90,90,5,0.9,1750,2300,1,Vegetarian,Breakfast,Female
Avocado Smoothie with Almond Milk,250,15,4,15,7,700,2,0,1.7,8,0.06,0.2,0.6,0.1,25,100,0.7,40,90,250,90,0.5,180,1800,2,Vegetarian,Breakfast,Female
Vegetable Juice and Hard-Boiled Egg,120,7,8,8,2,3000,10,40,0.6,6,0.1,0.3,0.4,0.1,10,40,0.7,20,80,180,125,0.6,10,50,6,Vegetarian,Breakfast,Male
Berry and Almond Yogurt Bowl,180,20,7,8,4,20,7,0,0.2,1,0.05,0.3,0.4,0.07,15,70,0.3,10,40,150,65,0.3,20,110,9,Vegetarian,Breakfast,Female
Whole Wheat English Muffin with Avocado,250,30,5,8,6,150,4,0,2,5,0.04,0.2,1,0.05,30,30,0.6,20,100,350,200,0.2,200,900,1,Vegetarian,Breakfast,Female
Grilled Chicken Salad,300,10,25,12,4,300,30,0,1,100,0.1,0.3,13,0.5,50,50,2,40,250,450,300,0.7,40,600,5,Non-Vegetarian,Lunch,Male
Quinoa with Mixed Veggies,220,45,8,6,8,400,20,0,0.6,50,0.2,0.1,0.6,0.1,90,30,2.5,90,180,400,10,1,10,500,2,Vegetarian,Lunch,Female
Turkey Wrap with Lettuce,250,28,15,5,2,200,8,0,0.5,15,0.1,0.3,6,0.3,30,50,1.5,20,100,250,300,0.4,30,150,3,Non-Vegetarian,Lunch,Male
Chickpea Salad,250,30,7,5,10,120,12,0,0.4,45,0.1,0.1,0.5,0.1,40,60,2,50,150,210,300,1.5,100,700,2,Vegetarian,Lunch,Female
Lentil Soup,180,22,10,2,8,100,5,0,0.2,30,0.07,0.1,0.4,0.1,90,40,2.5,40,110,250,400,1.2,50,500,3,Vegetarian,Lunch,Female
Mixed Greens with Tuna,210,5,25,10,3,500,10,200,1.2,80,0.1,0.2,12,0.3,20,50,1.2,30,200,350,220,0.8,120,150,0,Non-Vegetarian,Lunch,Male
Veggie-Stuffed Bell Peppers,200,20,5,6,6,900,40,0,1,90,0.05,0.1,0.8,0.1,60,40,1.3,20,80,250,150,0.5,15,300,4,Vegetarian,Lunch,Female
Grilled Salmon with Broccoli,400,8,25,14,4,800,90,300,1,80,0.1,0.4,11,0.5,15,40,1.1,25,200,500,200,0.6,800,500,1,Non-Vegetarian,Lunch,Male
Zoodles with Marinara Sauce,150,15,5,8,6,700,20,0,0.7,90,0.05,0.1,0.5,0.07,30,50,0.8,20,100,300,400,0.3,20,600,5,Vegetarian,Lunch,Female
Chickpea Pasta Salad,320,40,10,6,8,250,6,0,0.4,15,0.1,0.3,2,0.15,90,60,2,50,150,300,350,1.1,110,500,3,Vegetarian,Lunch,Female
Baked Salmon with Asparagus,350,10,30,20,5,900,15,570,1,50,0.1,0.2,8,0.5,10,30,1,30,220,650,70,0.7,1500,800,1,Non-Vegetarian,Dinner,Male
Roasted Veggies with Lean Protein,300,20,25,10,8,600,30,0,1.5,80,0.1,0.3,12,0.3,40,60,2.5,50,180,500,150,1,30,100,5,Non-Vegetarian,Dinner,Female
Cauliflower Rice Stir-Fry,170,10,6,7,4,300,20,0,0.5,40,0.07,0.2,1,0.2,40,30,1.5,30,80,200,250,0.3,50,300,2,Vegetarian,Dinner,Female
Tofu Stir-Fry with Veggies,250,15,14,10,6,250,25,0,1,30,0.1,0.3,0.5,0.1,25,50,1.5,40,150,300,300,0.6,20,200,1,Vegetarian,Dinner,Female
Baked Chicken with Green Beans,350,10,30,10,5,150,20,0,1.2,50,0.1,0.2,11,0.4,15,30,1.2,25,220,350,100,0.8,50,100,0,Non-Vegetarian,Dinner,Male
Turkey Lettuce Wraps,220,5,22,10,2,150,10,0,0.6,20,0.1,0.1,6,0.2,30,40,1,20,70,300,50,0.5,10,100,1,Non-Vegetarian,Dinner,Male
Veggie-Packed Soup,120,25,7,3,8,500,40,0,0.3,30,0.05,0.1,0.4,0.1,50,40,1.5,15,150,200,400,1,30,300,3,Vegetarian,Dinner,Female
Shrimp with Zucchini Noodles,250,8,25,10,3,250,20,200,1,40,0.1,0.3,2,0.5,15,50,1.1,25,150,500,200,0.6,500,300,2,Non-Vegetarian,Dinner,Male
Cabbage Stir-Fry,150,12,4,6,4,250,25,0,0.5,90,0.05,0.1,0.2,0.1,30,50,1.2,20,100,200,150,0.3,10,200,3,Vegetarian,Dinner,Female
Stir-Fried Quinoa with Greens,270,45,10,8,5,200,30,0,1,70,0.1,0.3,4,0.2,50,60,2,60,200,300,400,1,20,250,5,Vegetarian,Dinner,Female
Peanut Butter Banana Smoothie,400,45,12,16,5,90,12,0,2.5,0,0.1,0.2,3,0.4,20,90,2,30,160,600,180,0.7,400,200,15,Vegetarian,Breakfast,Male
Scrambled Eggs with Cheese,300,2,20,23,0,500,0,40,1.5,0,0.1,0.5,0.5,0.1,20,300,0.5,20,250,200,300,1.5,0,0,0,Vegetarian,Breakfast,Male
Oats with Whole Milk and Nuts,350,50,14,18,8,50,2,0,1.5,1,0.1,0.3,5,0.1,40,150,2.5,50,200,500,130,1,100,0,5,Vegetarian,Breakfast,Male
Avocado Toast with Extra Olive Oil,300,30,8,22,8,500,15,0,2.5,30,0.1,0.2,2,0.3,30,40,1,15,80,500,200,1,30,20,0,Vegetarian,Breakfast,Female
Full-Fat Yogurt with Honey and Granola,380,40,10,12,3,200,4,0,0.5,0,0.1,0.1,1,0.2,20,200,0.5,20,150,300,100,0.4,0,10,15,Vegetarian,Breakfast,Female
Bagel with Cream Cheese,290,45,10,10,2,0,0,0,0.5,0,0.1,0.2,2,0.1,10,150,0.8,15,200,400,800,1,0,0,1,Vegetarian,Breakfast,Male
Smoothie Bowl with Almond Butter,400,45,12,18,7,150,10,0,2,20,0.1,0.2,4,0.3,30,100,1,25,180,600,200,0.6,150,100,10,Vegetarian,Breakfast,Female
Omelet with Veggies and Cheese,350,5,20,20,2,300,15,0,1,0,0.1,0.3,6,0.2,15,100,1,15,250,300,300,1.5,0,0,1,Vegetarian,Breakfast,Male
Pancakes with Yogurt,320,60,10,10,4,100,5,0,0.5,1,0.1,0.2,3,0.2,20,200,1,25,150,400,200,0.5,0,0,5,Vegetarian,Breakfast,Female
Banana with Peanut Butter Toast,280,45,10,16,4,100,10,0,0.5,0,0.1,0.2,2,0.3,15,40,1,15,80,200,200,0.5,30,100,2,Vegetarian,Breakfast,Male
Rice with Beans and Cheese,350,50,15,10,7,500,3,0,1.5,0,0.2,0.1,2,0.2,30,300,1.5,25,150,600,400,1,0,0,0,Vegetarian,Lunch,Male
Pasta with Pesto and Chicken,450,50,25,20,3,600,5,0,1.5,0,0.1,0.2,4,0.3,20,200,1,40,300,500,150,1.5,0,0,2,Non-Vegetarian,Lunch,Male
Quinoa Salad with Nuts and Avocado,400,35,12,25,8,200,15,0,2.5,20,0.1,0.1,3,0.3,40,150,2,50,150,700,10,0.5,200,300,3,Vegetarian,Lunch,Female
Baked Potato with Sour Cream,250,50,6,10,4,100,10,0,0.5,1,0.1,0.1,2,0.1,10,50,1,15,200,400,300,0.5,0,0,1,Vegetarian,Dinner,Female
Chicken Wrap with Hummus,350,40,25,15,5,300,4,0,1,0,0.2,0.1,3,0.2,20,150,1.5,25,300,500,300,1,0,0,1,Non-Vegetarian,Lunch,Male
Lentil Stew with Brown Rice,300,60,20,5,15,400,5,0,1,2,0.2,0.1,4,0.3,50,200,3,30,250,600,10,0.5,0,0,1,Vegetarian,Lunch,Female
Grilled Cheese Sandwich,400,30,15,25,2,400,0,0,2,0,0.1,0.3,0.5,0.2,20,250,0.5,20,200,300,600,1,0,0,1,Vegetarian,Lunch,Male
Meat Stew with Whole Grains,450,40,30,20,4,300,5,0,1.5,2,0.1,0.2,4,0.3,30,200,1,25,350,500,300,2,0,0,2,Non-Vegetarian,Lunch,Male
Chickpea and Avocado Salad,320,30,12,20,7,200,10,0,2,20,0.1,0.2,2,0.3,30,150,1,15,200,500,10,0.5,0,0,1,Vegetarian,Lunch,Female
Whole-Wheat Burrito with Guacamole,500,50,20,20,8,300,5,0,1.5,20,0.1,0.2,3,0.2,40,150,1.5,30,250,600,200,1,0,0,0,Vegetarian,Lunch,Male
Grilled Chicken with Mashed Potatoes,450,50,30,15,5,600,5,0,1.5,3,0.1,0.2,4,0.5,20,100,1.5,25,250,600,300,1,0,0,1,Non-Vegetarian,Lunch,Male
Salmon with Creamy Pasta,600,70,35,25,3,700,2,0,2,0,0.2,0.1,6,0.3,10,150,2,40,400,500,200,1.5,200,300,3,Non-Vegetarian,Lunch,Male
Roasted Vegetables with Butter,250,30,5,15,6,500,30,0,1,20,0.1,0.1,2,0.2,15,50,1,10,100,400,5,0.5,0,0,4,Vegetarian,Dinner,Female
Stir-Fried Rice with Veggies and Tofu,400,50,15,10,4,300,10,0,0.5,0,0.2,0.1,3,0.3,20,100,1.5,15,200,400,200,0.5,0,0,1,Vegetarian,Dinner,Female
Whole-Grain Pasta with Meat Sauce,550,60,30,15,5,400,5,0,1.5,0,0.1,0.2,5,0.3,25,200,1,30,250,600,300,1.5,0,0,2,Non-Vegetarian,Dinner,Male
Lentil Curry with Naan,500,70,20,10,15,300,8,0,1,5,0.2,0.1,4,0.3,50,250,3,20,300,700,150,1,0,0,1,Vegetarian,Dinner,Female
Mushroom Risotto,350,60,15,20,2,200,2,0,1.5,0,0.1,0.2,4,0.2,10,100,0.5,15,200,400,5,0.5,0,0,1,Vegetarian,Dinner,Female
Shrimp Pasta with Cheese,600,70,25,20,2,300,3,0,1,0,0.1,0.2,5,0.3,10,150,1,20,300,500,300,1,0,0,2,Non-Vegetarian,Dinner,Male
Loaded Veggie Burger,450,40,20,20,8,300,10,0,1,5,0.1,0.2,3,0.3,30,250,1.5,25,200,600,150,1,0,0,3,Vegetarian,Lunch,Female
Vegetable Lasagna,400,40,20,25,4,200,5,0,1,10,0.1,0.2,4,0.3,15,300,1,30,200,500,400,1.5,0,0,2,Vegetarian,Dinner,Female
Oatmeal with Cinnamon,150,27,5,3,4,0,0,0,0.5,0,0.1,0.1,1,0.1,20,20,1,15,50,150,2,0.5,0,0,0,Vegetarian,Breakfast,Female
Chia Pudding with Unsweetened Almond Milk,200,20,6,8,10,0,0,0,0.5,0,0.1,0.1,0.5,0.1,30,50,2.5,20,100,150,120,1,100,50,1,Vegetarian,Breakfast,Female
Scrambled Eggs with Spinach,250,2,18,20,1,300,3,0,2,10,0.1,0.5,1,0.5,25,60,0.5,10,300,250,100,1,0,0,0,Vegetarian,Breakfast,Male
Greek Yogurt with Nuts,200,15,20,15,3,200,5,0,1.5,0,0.1,0.2,1,0.2,10,120,1,5,200,300,70,0.8,0,0,4,Vegetarian,Breakfast,Female
Avocado on Whole-Grain Toast,300,30,6,12,8,150,3,0,1,10,0.1,0.2,1,0.3,30,50,1,15,150,400,200,1,0,0,1,Vegetarian,Breakfast,Female
Smoothie with No Added Sugar,180,30,5,5,4,100,10,0,0.5,0,0.1,0.1,3,0.2,25,50,1,15,200,350,50,0.5,100,200,3,Vegetarian,Breakfast,Female
Boiled Eggs,140,1,13,11,0,270,0,0,0.5,0,0.1,0.5,0.1,0.1,5,50,0.5,10,90,160,70,0.5,0,0,0,Vegetarian,Breakfast,Male
Vegetable Omelet,200,5,15,15,3,200,5,0,1,5,0.1,0.2,2,0.2,10,100,0.5,10,200,300,400,1,0,0,0,Vegetarian,Breakfast,Male
Cottage Cheese with Cucumber,150,5,24,5,1,200,2,0,0.5,0,0.1,0.1,0.5,0.1,5,70,0.5,10,100,150,50,0.5,0,0,2,Vegetarian,Breakfast,Female
Low-Sugar Granola with Berries,250,30,5,8,5,100,15,0,1,5,0.1,0.2,2,0.1,10,50,1,15,100,300,60,0.5,0,0,3,Vegetarian,Breakfast,Female
Grilled Chicken Salad,350,15,30,10,5,100,20,0,2,20,0.1,0.2,5,0.5,50,60,1.5,10,300,400,600,1,0,0,1,Non-Vegetarian,Lunch,Male
Quinoa Salad with Veggies,300,36,8,4,6,30,15,0,1,5,0.1,0.2,1,0.2,20,30,1,15,80,200,5,0.5,0,0,1,Vegetarian,Lunch,Female
Turkey Wrap with Whole-Wheat Tortilla,350,40,25,12,4,100,5,0,1.5,10,0.2,0.2,4,0.4,15,80,1,15,200,300,500,1,0,0,2,Non-Vegetarian,Lunch,Male
Lentil Soup,180,30,10,1,8,10,5,0,0.5,5,0.1,0.1,1,0.2,20,30,0.5,10,150,400,5,0.2,0,0,3,Vegetarian,Lunch,Female
Stir-Fried Tofu with Veggies,250,15,15,14,4,50,30,0,1.5,5,0.1,0.3,2,0.3,15,150,1,20,200,300,5,0.5,100,50,2,Vegetarian,Lunch,Female
Baked Fish with a Side Salad,350,15,25,15,3,500,15,0,1,20,0.1,0.2,3,0.3,25,150,0.5,10,300,350,50,1,0,0,1,Non-Vegetarian,Dinner,Male
Roasted Vegetable Wrap,300,30,7,9,5,100,30,0,1,15,0.1,0.2,2,0.2,10,50,1,15,100,400,300,0.5,0,0,1,Vegetarian,Dinner,Female
Grilled Salmon with Kale,400,8,35,25,3,1500,15,0,2,15,0.1,0.3,4,0.5,20,200,1,20,300,500,50,1,100,50,1,Non-Vegetarian,Dinner,Male
Chickpea Salad,250,30,10,6,8,100,10,0,1,5,0.1,0.2,1,0.2,30,50,1,15,100,300,5,0.5,0,0,1,Vegetarian,Lunch,Female
Spinach and Feta Stuffed Bell Peppers,200,15,9,7,3,150,10,0,1,10,0.1,0.2,2,0.2,20,100,0.5,5,50,200,10,0.5,0,0,1,Vegetarian,Dinner,Female
Baked Chicken with Roasted Veggies,400,15,30,15,5,500,20,0,1.5,10,0.1,0.2,4,0.5,10,60,1,15,200,400,100,1,0,0,2,Non-Vegetarian,Dinner,Male
Zucchini Noodles with Marinara,150,25,4,5,4,200,15,0,0.5,5,0.1,0.2,1,0.1,15,30,1,10,50,250,200,0.5,0,0,3,Vegetarian,Dinner,Female
Fish with Steamed Broccoli,250,10,30,10,4,500,60,0,1,20,0.1,0.1,3,0.5,25,80,1,15,300,300,50,0.5,100,50,1,Non-Vegetarian,Dinner,Male
Cauliflower Rice Stir-Fry,200,10,5,10,4,20,30,0,0.5,10,0.1,0.1,2,0.2,10,40,0.5,10,100,250,20,0.2,0,0,2,Vegetarian,Dinner,Female
Veggie-Stuffed Eggplant,180,15,6,8,4,250,15,0,1,10,0.1,0.2,2,0.2,15,30,0.5,5,50,300,5,0.5,0,0,1,Vegetarian,Dinner,Female
Tofu Stir-Fry with Low-Sodium Soy Sauce,220,20,14,9,3,50,30,0,1.5,5,0.1,0.3,2,0.2,20,150,1,20,200,300,5,0.5,0,0,1,Vegetarian,Dinner,Female
Spaghetti Squash with Marinara,160,25,4,2,6,50,10,0,0.5,2,0.1,0.1,1,0.1,10,30,0.5,5,50,200,0,0.2,0,0,3,Vegetarian,Dinner,Female
Shrimp and Veggie Stir-Fry,300,15,25,10,3,200,15,0,1,20,0.1,0.2,4,0.3,15,200,1,15,300,500,100,1,0,0,1,Non-Vegetarian,Dinner,Male
Turkey Meatballs with Zoodles,350,10,30,20,4,500,10,0,1.5,10,0.1,0.2,5,0.5,25,150,1,20,200,400,5,0.5,0,0,1,Non-Vegetarian,Dinner,Male
Roasted Salmon with Kale,400,8,35,25,3,1500,15,0,2,15,0.1,0.3,4,0.5,20,200,1,20,300,500,50,1,100,50,1,Non-Vegetarian,Dinner,Male
Oatmeal with Flaxseeds,200,54,10,7,8,20,1,0,1.5,2,0.1,0.1,2,0.1,10,40,4,25,100,350,2,0.2,230,80,1,Vegetarian,Breakfast,Male
Smoothie with Banana and Spinach,250,40,4,5,5,500,10,0,0.5,15,0.1,0.1,2,0.2,30,60,2,10,50,350,10,0.5,30,50,8,Vegetarian,Breakfast,Female
Greek Yogurt with Berries,180,30,12,5,2,200,10,0,0.5,1,0.1,0.2,0.5,0.1,10,120,0.5,15,200,400,80,0.5,0,0,5,Vegetarian,Breakfast,Female
Avocado on Whole-Wheat Toast,300,30,5,15,7,300,15,0,2,30,0.1,0.1,3,0.2,20,60,0.5,20,100,300,300,0.5,0,0,1,Vegetarian,Breakfast,Female
Vegetable Omelet,200,5,18,15,2,500,5,0,1,5,0.1,0.2,1,0.2,20,100,1,10,200,300,200,0.5,0,0,2,Vegetarian,Breakfast,Female
Chia Pudding with Almond Milk,180,25,6,10,10,20,0,0,2.5,5,0.1,0.1,3,0.2,10,200,1,10,150,300,50,0.5,0,0,2,Vegetarian,Breakfast,Female
Unsalted Nuts and Fresh Fruit,200,20,8,20,5,20,5,0,3,1,0.1,0.2,2,0.2,10,80,2,15,200,250,0,0.5,50,200,5,Vegetarian,Breakfast,Female
